gblup,EGBLUP,BA,BL,RF,RKHS
94.742,94.62863,94.661,94.702,93.242,94.735
95.135,94.4615,95.625,95.307,94.644,94.914
94.452,95.19686,94.518,94.454,94.557,94.774
94.589,95.74299,94.628,94.568,94.998,94.896
93.851,94.99528,93.801,93.885,96.085,94.482
95.242,96.42909,95.502,95.251,97.924,95.699
95.242,96.39462,95.502,95.251,97.924,95.699
94.452,95.16621,94.518,94.454,94.557,94.774
94.216,94.64107,94.164,94.229,94.287,94.57
95.242,96.44317,95.502,95.251,97.924,95.699
94.7,94.59947,94.61,94.659,88.625,94.72
94.773,92.49753,94.818,94.717,91.452,93.504
94.776,94.91441,94.746,94.744,95.538,94.891
93.877,95.05911,93.859,93.918,96.154,94.533
94.589,95.69506,94.628,94.568,94.998,94.896
93.806,94.97709,93.78,93.854,96.2,94.483
95.242,96.39752,95.502,95.251,97.924,95.699
95.242,96.45503,95.502,95.251,97.924,95.699
95.242,96.42402,95.502,95.251,97.924,95.699
94.206,94.29521,94.196,94.212,94.347,94.502
95.242,96.4326,95.502,95.251,97.924,95.699
94.216,94.59912,94.164,94.229,94.287,94.57
94.698,94.81774,94.64,94.671,95.21,94.807
94.739,95.05873,94.743,94.733,95.525,94.923
93.806,94.97231,93.78,93.854,96.2,94.483
94.216,94.6292,94.164,94.229,94.287,94.57
94.589,95.71395,94.628,94.568,94.998,94.896
93.806,94.93816,93.78,93.854,96.2,94.483
95.242,96.37781,95.502,95.251,97.924,95.699
95.242,96.39613,95.502,95.251,97.924,95.699
94.216,94.59476,94.164,94.229,94.287,94.57
95.242,96.42334,95.502,95.251,97.924,95.699
94.216,94.60278,94.164,94.229,94.287,94.57
94.624,92.81484,94.661,94.584,93.396,93.643
94.698,94.84065,94.64,94.671,95.21,94.807
94.698,94.83633,94.64,94.671,95.21,94.807
94.589,95.72332,94.628,94.568,94.998,94.896
94.617,93.96505,94.897,94.649,94.073,94.355
93.942,95.17913,93.974,94.008,95.763,94.648
94.739,95.05806,94.743,94.733,95.525,94.923
95.242,96.43371,95.502,95.251,97.924,95.699
94.216,94.60799,94.164,94.229,94.287,94.57
95.242,96.40554,95.502,95.251,97.924,95.699
94.216,94.57635,94.164,94.229,94.287,94.57
94.698,94.87521,94.64,94.671,95.21,94.807
94.698,94.84039,94.64,94.671,95.21,94.807
93.806,94.98945,93.78,93.854,96.2,94.483
94.589,95.70597,94.628,94.568,94.998,94.896
93.806,94.94738,93.78,93.854,96.2,94.483
94.321,95.54364,94.055,94.295,96.846,94.785
95.242,96.38447,95.502,95.251,97.924,95.699
93.884,92.73904,93.918,93.891,92.231,93.45
95.242,96.39567,95.502,95.251,97.924,95.699
94.216,94.62508,94.164,94.229,94.287,94.57
94.698,94.85554,94.64,94.671,95.21,94.807
94.698,94.86525,94.64,94.671,95.21,94.807
94.216,94.58417,94.164,94.229,94.287,94.57
94.589,95.72096,94.628,94.568,94.998,94.896
94.589,95.76929,94.628,94.568,94.998,94.896
95.194,95.90919,95.43,95.224,96.92,95.547
94.739,95.1208,94.743,94.733,95.525,94.923
94.216,94.57577,94.164,94.229,94.287,94.57
95.162,96.25969,95.436,95.201,97.845,95.568
94.278,94.50638,94.222,94.287,94.304,94.667
94.698,94.87469,94.64,94.671,95.21,94.807
94.698,94.80917,94.64,94.671,95.21,94.807
93.385,90.42729,93.196,93.4,87.769,92.181
94.589,95.7518,94.628,94.568,94.998,94.896
94.494,95.16108,94.236,94.388,93.001,94.74
94.643,96.30704,94.83,94.643,97.182,94.875
95.242,96.3937,95.502,95.251,97.924,95.699
95.242,96.37641,95.502,95.251,97.924,95.699
94.216,94.58426,94.164,94.229,94.287,94.57
95.329,94.59999,95.48,95.266,95.106,94.874
94.698,94.85659,94.64,94.671,95.21,94.807
94.773,92.48241,94.818,94.717,91.452,93.504
94.698,94.86926,94.64,94.671,95.21,94.807
94.216,94.60491,94.164,94.229,94.287,94.57
94.589,95.73309,94.628,94.568,94.998,94.896
94.739,95.05819,94.743,94.733,95.525,94.923
93.81,95.0101,93.8,93.863,95.89,94.51
94.739,95.06975,94.743,94.733,95.525,94.923
94.023,94.11899,94.128,94.033,93.504,94.13
95.216,95.7105,95.483,95.2,95.856,95.5
94.216,94.62403,94.164,94.229,94.287,94.57
94.773,92.4831,94.818,94.717,91.452,93.504
94.698,94.88296,94.64,94.671,95.21,94.807
94.216,94.60497,94.164,94.229,94.287,94.57
94.216,94.5923,94.164,94.229,94.287,94.57
93.447,91.12488,93.287,93.461,89.025,92.452
95.242,96.42781,95.502,95.251,97.924,95.699
95.242,96.39817,95.502,95.251,97.924,95.699
94.216,94.59982,94.164,94.229,94.287,94.57
95.242,96.36965,95.502,95.251,97.924,95.699
94.216,94.59687,94.164,94.229,94.287,94.57
94.742,94.66738,94.661,94.702,93.242,94.735
94.703,94.86272,94.624,94.68,95.216,94.807
93.847,93.68349,93.713,93.824,92.973,93.639
94.216,94.62118,94.164,94.229,94.287,94.57
93.822,94.90262,93.786,93.872,95.902,94.426
93.808,94.95653,93.79,93.858,95.959,94.494
94.295,93.84706,94.531,94.337,93.826,94.124
95.242,96.36488,95.502,95.251,97.924,95.699
96.13,96.14411,96.326,96.108,95.428,95.791
94.698,94.8541,94.64,94.671,95.21,94.807
95.174,93.14608,95.343,95.153,93.221,94.187
94.698,94.82491,94.64,94.671,95.21,94.807
94.026,93.8418,93.892,93.992,93.244,93.785
94.587,95.6334,94.622,94.567,94.943,94.871
93.806,94.98478,93.78,93.854,96.2,94.483
94.244,93.80171,94.41,94.283,93.433,93.989
94.698,94.84004,94.64,94.671,95.21,94.807
95.242,96.38829,95.502,95.251,97.924,95.699
95.715,94.93178,96.089,95.797,95.469,95.414
94.187,94.04835,94.024,94.224,93.793,94.424
95.318,92.92096,95.575,95.276,92.48,94.131
94.698,94.84568,94.64,94.671,95.21,94.807
94.589,95.75868,94.628,94.568,94.998,94.896
94.216,94.61803,94.164,94.229,94.287,94.57
93.89,95.30946,93.857,93.942,96.034,94.62
94.244,93.73408,94.41,94.283,93.433,93.989
94.444,94.34838,94.221,94.376,89.435,94.528
95.242,96.43298,95.502,95.251,97.924,95.699
96.13,96.12153,96.326,96.108,95.428,95.791
94.216,94.58286,94.164,94.229,94.287,94.57
94.672,92.32552,94.586,94.613,91.296,93.453
94.698,94.87853,94.64,94.671,95.21,94.807
93.847,93.69447,93.713,93.824,92.973,93.639
94.589,95.71983,94.628,94.568,94.998,94.896
94.589,95.72532,94.628,94.568,94.998,94.896
95.242,96.35637,95.502,95.251,97.924,95.699
94.455,94.01272,94.187,94.384,94.836,94.422
95.242,96.3961,95.502,95.251,97.924,95.699
96.171,96.25645,96.43,96.169,99.915,95.876
95.135,94.47628,95.625,95.307,94.644,94.914
94.773,92.42759,94.818,94.717,91.452,93.504
94.698,94.87097,94.64,94.671,95.21,94.807
94.589,95.74833,94.628,94.568,94.998,94.896
