GBLUP,EGBLUP,BayesA,BayesL,RF,RKHS
94.821,94.71352,94.763,94.766,90.012,94.773
94.742,94.62181,94.651,94.678,93.701,94.69
95.135,94.57554,95.546,95.563,94.71,94.93
94.452,95.12272,94.514,94.504,94.574,94.911
94.589,95.49197,94.606,94.614,94.934,95.007
93.851,94.86879,93.883,93.84,96.148,94.541
95.242,96.31988,95.449,95.408,98.086,95.929
95.242,96.32166,95.449,95.408,98.086,95.929
94.452,95.16975,94.514,94.504,94.574,94.911
94.216,94.63705,94.207,94.215,94.296,94.623
95.242,96.35409,95.449,95.408,98.086,95.929
94.7,94.65595,94.604,94.62,89.843,94.714
94.773,92.57831,94.754,94.76,91.773,93.239
94.776,94.92217,94.756,94.747,95.803,94.877
93.877,94.94737,93.92,93.886,96.238,94.543
94.589,95.50613,94.606,94.614,94.934,95.007
93.806,94.90596,93.877,93.821,96.322,94.508
95.242,96.34543,95.449,95.408,98.086,95.929
95.242,96.33116,95.449,95.408,98.086,95.929
95.242,96.27675,95.449,95.408,98.086,95.929
94.206,94.36244,94.182,94.234,94.057,94.467
95.242,96.32289,95.449,95.408,98.086,95.929
94.216,94.60072,94.207,94.215,94.296,94.623
94.698,94.85161,94.645,94.659,95.255,94.791
94.739,95.10988,94.76,94.751,95.568,94.969
93.806,94.87498,93.877,93.821,96.322,94.508
94.216,94.59411,94.207,94.215,94.296,94.623
94.589,95.47618,94.606,94.614,94.934,95.007
93.806,94.89161,93.877,93.821,96.322,94.508
95.242,96.36348,95.449,95.408,98.086,95.929
95.242,96.30278,95.449,95.408,98.086,95.929
94.216,94.60023,94.207,94.215,94.296,94.623
95.242,96.31604,95.449,95.408,98.086,95.929
94.216,94.62445,94.207,94.215,94.296,94.623
94.624,92.80872,94.586,94.624,93.471,93.421
94.698,94.84439,94.645,94.659,95.255,94.791
94.698,94.86437,94.645,94.659,95.255,94.791
94.589,95.50478,94.606,94.614,94.934,95.007
94.617,94.05001,94.647,94.76,94.035,94.27
93.942,95.07824,93.94,93.951,96.101,94.605
94.739,95.11577,94.76,94.751,95.568,94.969
95.242,96.32405,95.449,95.408,98.086,95.929
94.216,94.60537,94.207,94.215,94.296,94.623
95.242,96.34006,95.449,95.408,98.086,95.929
94.216,94.6331,94.207,94.215,94.296,94.623
94.698,94.86187,94.645,94.659,95.255,94.791
94.698,94.88955,94.645,94.659,95.255,94.791
93.806,94.8576,93.877,93.821,96.322,94.508
94.589,95.46448,94.606,94.614,94.934,95.007
93.806,94.89685,93.877,93.821,96.322,94.508
94.321,95.35932,94.065,94.161,97.098,94.83
95.242,96.30541,95.449,95.408,98.086,95.929
93.884,92.85507,93.957,93.905,92.226,93.295
95.242,96.3056,95.449,95.408,98.086,95.929
94.216,94.6471,94.207,94.215,94.296,94.623
94.698,94.86633,94.645,94.659,95.255,94.791
94.698,94.82506,94.645,94.659,95.255,94.791
94.216,94.58925,94.207,94.215,94.296,94.623
94.589,95.53909,94.606,94.614,94.934,95.007
94.589,95.5276,94.606,94.614,94.934,95.007
95.194,95.76192,95.378,95.369,97.437,95.695
94.739,95.1465,94.76,94.751,95.568,94.969
94.216,94.60816,94.207,94.215,94.296,94.623
95.162,96.22149,95.372,95.345,97.875,95.774
94.278,94.61311,94.271,94.248,94.396,94.728
94.698,94.86788,94.645,94.659,95.255,94.791
94.698,94.83225,94.645,94.659,95.255,94.791
93.385,90.6215,93.298,93.29,87.933,91.684
